1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,25,26,1,1,1,2,3,1,1,1,1,1,1,1,14
10,1,1,1,1,1,1,1,1,27,28,1,1,1,1,1,1,1,1,1,1,1,1,10
10,1,1,1,1,1,1,1,1,29,30,1,1,1,1,1,1,1,16,17,1,1,1,11
11,1,1,1,2,3,1,1,24,20,21,1,1,1,1,1,2,3,18,19,1,1,1,10
10,1,2,31,32,33,34,1,15,14,12,1,1,1,1,1,1,1,20,21,1,1,1,10
11,1,1,35,36,37,38,1,4,4,4,1,1,1,1,1,1,13,13,12,1,1,1,11
10,1,1,1,29,30,1,1,4,4,4,1,1,13,1,1,1,4,4,4,1,1,13,11
11,13,1,1,20,21,1,1,4,4,4,1,1,4,1,1,1,4,4,4,1,1,4,11
10,10,1,1,14,13,12,1,4,4,4,1,1,4,14,1,13,12,4,4,13,13,13,10
11,11,1,1,4,4,4,1,4,4,4,1,1,13,10,1,4,4,4,4,4,4,4,11
10,10,1,1,4,4,4,1,4,4,4,1,13,11,10,1,4,12,13,4,4,4,4,10
11,10,13,14,13,13,13,13,12,13,12,12,11,6,7,13,13,11,10,13,13,13,13,10
10,11,10,11,11,11,10,11,10,10,10,11,11,8,9,11,10,11,11,11,10,11,11,10
22,23,23,22,22,22,22,23,22,22,22,22,22,22,23,23,23,22,22,22,22,22,22,23
22,23,23,22,22,22,22,23,23,22,22,22,22,22,23,23,23,22,22,22,22,22,22,23
22,23,23,23,22,22,22,23,22,22,22,22,22,22,22,22,23,23,22,22,22,23,23,23
22,23,23,23,23,22,22,23,22,22,23,22,22,22,23,23,23,22,22,22,23,22,22,22,23
22,23,23,23,22,22,22,23,22,22,23,22,22,22,23,23,23,22,22,22,22,22,22,23
22,23,23,22,22,22,22,22,23,23,23,22,22,22,22,22,22,23,22,23,22,22,23,22
22,23,23,22,22,22,22,23,22,22,22,23,22,22,22,23,23,22,22,23,22,22,22,23,23
22,23,23,22,22,22,22,22,23,23,23,22,22,22,22,22,22,23,22,22,23,22,22,23
